[Conflict]
[Missing]
Afghanistan
Albania
Algeria
American Samoa [United States]
Andorra
Angola
Anguilla
Antarctica
Antigua
Antigua and Barbuda
Argentina
Armenia
Aruba
Australia
Austria
Azerbaijan
Azores
Bahamas
Bahrain
Bangladesh
Barbados
Belarus
Belgium
Belgium and Luxemborg
Belize
Benin
Bermuda
Bermuda [United Kingdom]
Bhutan
Bolivia
Bolivia (Plurinational State of)
Bosnia and Herzegovina
Botswana
Bouvet Island
Brazil
Brunei
Brunei Darussalam
Bulgaria
Burkina Faso
Burma / Myanmar
Burundi
Cabo Verde
Cambodia
Cameroon
Canada
Canary Islands [Spain]
Cape Verde
Cayman Islands
Cayman Islands [United Kingdom]
Central African Rep.
Central African Republic
Ceuta and Melilla [Spain]
Chad
Chagos Archipelago [United Kingdom]
Chile
China
Christmas Island [Australia]
Cocos (Keeling) Islands [Australia]
Colombia
Comoros
Congo
Cook Islands [New Zealand]
Coral Sea Islands [Australia]
Costa Rica
Cote D'Ivoire
Côte d'Ivoire
Croatia
Cuba
Cyprus
Czech Rep.
Czech Republic
Dem. People's Rep. of Korea
Dem. Rep. of the Congo
Denmark
Djibouti
Dominica
Dominican Rep.
Dominican Republic
East Timor
Ecuador
Egypt
El Salvador
Equatorial Guinea
Eritrea
Estonia
Ethiopia
Europa Island
Falkland Islands [United Kingdom]
Faroe Islands
Federated States of Micronesia
Fiji
Finland
Former USSR (Asia)
Former USSR (Europe)
France
French Guiana
French Guiana [France]
French Polynesia [France]
French Southern and Antarctic Lands [France]
Gabon
Gambia
Georgia
Germany
Ghana
Gibraltar
Gibraltar [United Kingdom]
Greece
Greenland [Denmark]
Grenada
Guadeloupe [France]
Guam [United States]
Guatemala
Guernsey
Guinea
Guinea-Bissau
Guyana
Haiti
Honduras
Hong Kong
Hungary
Iceland
India
Indonesia
Iran
Iran (Islamic Rep. of)
Iraq
Ireland
Isle of Man
Israel
Italy
Jamaica
Jan Mayen [Norway]
Japan
Jersey
Johnston Atoll [United States]
Jordan
Juan de Nova Island
Kazakhstan
Kenya
Kiribati
Korea
Kuwait
Kyrgyzstan
Lao People's Dem. Rep.
Laos
Latvia
Lebanon
Lesotho
Liberia
Libya
Liechtenstein
Lithuania
Luxembourg
Macau [Portugal]
Macedonia
Madagascar
Madeira Islands [Portugal]
Malawi
Malaysia
Maldives
Mali
Malta
Marshall Islands
Martinique
Martinique [France]
Mauritania
Mauritius
Mayotte [France]
Mexico
Micronesia (Federated States of)
Midway Islands [United States}
Moldova
Monaco
Mongolia
Montenegro
Montserrat [United Kingdom]
Morocco
Mozambique
Myanmar
Namibia
Nauru
Nepal
Netherland Antilles
Netherlands
New Caledonia
New Caledonia [France]
New Zealand
Nicaragua
Niger
Nigeria
Niue [New Zealand]
Norfolk Island [Australia]
Northern Mariana Islands [United States]
Norway
Oman
Pakistan
Palau
Palestinian
Panama
Papua New Guinea
Paraguay
Peru
Philippines
Pitcairn Islands [United Kingdom]
Poland
Portugal
Puerto Rico
Puerto Rico [United States]
Qatar
Rep. of Korea
Rep. of Moldova
Reunion and Associated Islands [France]
Romania
Russia
Russian Federation
Rwanda
Saint Helena [United Kingdom]
Saint Kitts and Nevis
Saint Lucia
Saint Vincent and the Grenadines
Samoa
San Marino
Sao Tome and Principe
Saudi Arabia
Senegal
Serbia
Serbia and Kosovo: S/RES/1244 (1999)
Seychelles
Ship Stations
Sierra Leone
Singapore
Slovakia
Slovenia
Solomon Islands
Somalia
South Africa
South Georgia and South Sandwich Islands [United Kingdom]
South Sudan
Spain
Sri Lanka
St. Lucia
St. Pierre and Miquelon [France]
Stateless
Sudan
Suriname
Svalbard [Norway]
Swaziland
Sweden
Switzerland
Syria
Syrian Arab Rep.
Taiwan
Tajikistan
Tanzania
Thailand
The former Yugoslav Rep. of Macedonia
Tibetan
Timor-Leste
Togo
Tokelau [New Zealand]
Tonga
Trinidad and Tobago
Tromelin Island [France]
Tunisia
Turkey
Turkmenistan
Turks and Caicos Islands
Turks and Caicos Islands [United Kingdom]
Tuvalu
Uganda
Ukraine
United Arab Emirates
United Kingdom
United Kingdom of Great Britain and Northern Ireland
United Rep. of Tanzania
United States
United States of America
Uruguay
Uzbekistan
Vanuatu
Various/unknown
Venezuela
Venezuela (Bolivarian Republic of)
Viet Nam
Vietnam
Virgin Islands [United Kingdom]
Virgin Islands [United States]
Wake Island [United States]
Wallis and Futuna [France]
Western Sahara
Western Sahara [Morocco]
Western Samoa
Yemen
Zaire
Zambia
Zimbabwe
